Marla Babilonia,802190093,marla.babilonia@upr.edu,7879406482,owner and client,10,1
Luis Martinez,802190094,luis.martinez@upr.edu,7871234567,client,5,0
Ana Rivera,802190095,ana.rivera@upr.edu,7877654321,owner,20,2
Carlos Lopez,802190096,carlos.lopez@upr.edu,7875678910,client,8,0
Paola Torres,802190097,paola.torres@upr.edu,7879012345,owner,15,1
Sofia Ramos,802190098,sofia.ramos@upr.edu,7872345678,client,6,0
Juan Morales,802190099,juan.morales@upr.edu,7873456789,owner,12,1
Valeria Soto,802190100,valeria.soto@upr.edu,7874567890,client,9,0
Daniela Perez,802190101,daniela.perez@upr.edu,7875678901,owner and client,18,2
Fernando Cruz,802190102,fernando.cruz@upr.edu,7876789012,client,4,0
